Country,Event,Risk,News
Unknown,General Event,0.4,"‘Zero Day’ & ‘A House Of Dynamite’ Producer Prologue Entertainment Signs Bestselling Author David McCloskey To First-Look Deal EXCLUSIVE: Former CIA analyst turned espionage writer David McCloskey (Damascus Station) has struck an exclusive multi-year first-look deal with Prologue Entertainment, the independent production studio behind the 2025 Netflix thrillers A House of Dynamite an…"
US,General Event,0.4,Geopolitics and Hidden Forces Rattle Bitcoin Markets | US Crypto News None
New Delhi,General Event,0.4,"Ambition, bottlenecks and geopolitics shape India’s proposed ‘Rare Earth Corridor’ Announced in India’s Union Budget this month, the proposed Rare Earth Corridor across Odisha, Kerala, Andhra Pradesh and Tamil Nadu marks what analysts say is New Delhi’s bid to convert mineral reserves into strategic clout."
Unknown,General Event,0.4,"Funny! Not Funny? MAGA Parodies Look Like THE REAL THING When you fire Kristi Noem--who thought her job was to play dress up as a cowgirl, take selfies..and let's not get into Corey Lewandowski (no pun..)--as head of DHS to hire MarkWayne Mullin, who sounds like a guy who spikes the punch at the church square dance…"
Unknown,General Event,0.4,WATCH: Ex-Foreign Secretary Lammy Mistakenly Says Cyprus Is Part of NATO It isn't. In other news Lammy is soon to be part of geopolitics club at his local school for some extra learning...
Greenland,General Event,0.4,Rubio warns Europe of new era in geopolitics before big Munich speech The US Secretary of State will address the first major transatlantic meeting since Donald Trump threatened to annex Greenland.
Italy,General Event,0.4,"Italy Evaluating F-35 Highway Operations To Boost Fleet Survivability Speaking at a geopolitics and aerospace conference in Rome, the Commander of the Italian Air Force’s Operational Forces said the service is evaluating the possibility of operating F-35s from highway strips if conventional airfields are threatened. Italy is as…"
Unknown,General Event,0.4,"RBI asks banks to give client info on forex deals, positions The Reserve Bank of India is gathering information on foreign exchange deals from banks. This move aims to understand if significant bets are being placed against the Indian rupee. The central bank is looking at client transactions and bank positions. This da…"
Unknown,General Event,0.4,"MSCI (MSCI) Held Steady Amid Challenges Baron Fund, an investment management company, released its Q4 2025 letter for “Baron Durable Advantage Fund”. A copy of the letter can be downloaded here..."
AI,General Event,0.4,"10 Rules For Dealing With Uncertainty How to think deal with AI and geopolitics.
The post 10 Rules For Dealing With Uncertainty appeared first on A Wealth of Common Sense.
..."
Bangladesh,General Event,0.4,"‘Bangladesh will be better’: BNP victory puts nation at crossroads The victorious Bangladesh Nationalist Party supporters are jubilant, but analysts warn of challenges ahead."
US,General Event,0.4,"White House post after US hockey win over Canada stirs controversy Trump hails US's Olympic gold win, as some Canadians reject White House's illustration of an eagle dominating a goose."
Washington,General Event,0.4,"Watch live — US top diplomat Marco Rubio speaks about future of transatlantic ties at Munich Security Conference The US secretary of state is speaking in Munich as Europe mulls its future without Washington. Ahead of his trip he said that a ""new era"" of geopolitics was beginning. DW has the latest."
Unknown,General Event,0.4,"‘The biggest losers in all of this are everyday people and civilians in conflict zones’: OpenAI is filling the gap left by Anthropic — but almost left in the same loopholes for mass domestic surveillance OpenAI has signed a contract with the Pentagon, days after Anthropic's $200 million contract was severed."
China,General Event,0.4,"China has extracted 1000g of uranium from just seawater - targets ""unlimited battery life"" by 2050, tapping into 4.5 billion tons of aquatic uranium The oceans hold vast uranium resources, and China’s recent extraction milestone is a start but does not yet ensure a large-scale fuel supply."
Iran,Military Activity,0.9,"Video: “Donald The Terrible” Threatens Humanity Trump is threatening military actions all over the World. In Iran, the killing of civilians was deliberate. What is at stake is the criminalization of  politics coupled with Trump’s twisted personality and ignorance of geopolitics.  Psychiatrists and mental h…"
Unknown,General Event,0.4,"‘Free Speech Is Happening’ at the Berlinale, Festival Director Tricia Tuttle Promises in Lengthy Statement After Fraught First Days Berlin: In its first days, the festival's jury and film stars have been asked a number of political questions. Not all of them have been up to the task."
Beijing,General Event,0.4,"Chipmakers still suffering from rare earth shortages, says report — US-China trade truce apparently still hasn’t eased pressures despite agreement taking place in October last year Sources told Reuters that some U.S. chipmaking firms are running low on scandium — a crucial rare earth material for making 5G chips — as they suffer delays from acquiring export licenses from Beijing."
Unknown,General Event,0.4,"Congratulations to Me, a Kamala Harris Voter, Who Got Exactly What I Voted For “Trump’s best foreign policy? Not starting any wars… He has my support in 2024 because I know he won’t recklessly send Americans to fight overseas.” — JD Vance, in an op-ed in The Wall St. Journal, 7/31/23 - - -I like to think of myself as someone who takes r…"
Solana,General Event,0.4,"Ether, XRP, Solana slide in crypto retreat despite tech-led lift in Asia stocks Major tokens stayed under pressure even as risk sentiment improved in equities, with a firmer dollar and Fed rate uncertainty keeping crypto rallies short-lived."
US,General Event,0.4,"Exclusive: Musk's solar push sets off a high-stakes test for Taiwan's industry Tesla is expanding simultaneously into self-driving vehicles, artificial intelligence robots, and energy infrastructure. Elon Musk has outlined plans to build US solar manufacturing capacity capable of producing 100 gigawatts annually within three years. The …"
Hong Kong,General Event,0.4,"Binance's Richard Teng breaks down the ‘10/10’ nightmare that rocked crypto Every crypto exchange saw liquidations during the Oct. 10 liquidation event, Richard Teng told the crowd at CoinDesk's Consensus Hong Kong."
Unknown,General Event,0.4,Goldman Team Says Asset-Heavy Stocks Outperform on AI Fears The Goldman team said their basket of capital intensive stocks whose economic value derives from physical assets has outperformed a capital light group...
Unknown,General Event,0.4,"MediaTek CEO: Advanced chip production due for a global rebalance MediaTek CEO Ricky Tsai recently discussed artificial intelligence, semiconductor geopolitics, and MediaTek's evolving strategy in an interview with an English-language publication. He also reflected on his academic background and career path, as well as his …"
Unknown,General Event,0.4,Hormuz is just one of many chokepoints that are pushing countries to rethink economic strategy The Cold War-style weaponization of supply bottlenecks—from the Strait of Hormuz to rare-earth clamps—is forcing countries to rework their strategies in favour of self-sufficiency as geopolitics makes global interdependence harder by the day.
Gaza,General Event,0.4,Indonesia’s Gaza gamble Indonesia’s plan to send troops to Gaza could test its longstanding foreign policy independence.
Israel,General Event,0.4,"India-Israel axis: What are the IMEC corridor, I2U2 grouping Modi spoke of? During his Knesset speech in Jerusalem, Modi mentioned multilateral projects on which India and Israel collaborate."
Iran,General Event,0.4,"Iran’s place in World Cup 2026 in doubt amid conflict, Trump’s dismissal With Donald Trump saying he doesn't care if Iran participates, the country may be left with no choice but to pull out."
China,Military Activity,0.9,"Japan to install missiles near Taiwan: Are China tensions set to spike? Japan plans to deploy missiles near Taiwan, a move analysts say risks deepening regional tensions with China."
Washington,General Event,0.4,"While US encourages Kurds to attack Iran, history serves darker warning Kurds weigh Washington's push for a rebellion on Iranian soil against a history of betrayals and pragmatic alliances."
Washington,General Event,0.4,"Mint Quick Edit | America’s 126% tariff on solar panels from India: Is there any coherent explanation? Just when India-US trade ties seemed to be on the mend, Washington imposed a 126% tariff on Indian solar panels. Is this self-defeating protectionism, petty geopolitics or plain policy confusion?"
Unknown,General Event,0.4,"Sitharaman counters LoP on farmers, food security & data “If Congress had its way, Indian farmers would have been on the streets. They are the ones selling Indian farmers,” she said."
Russia,General Event,0.4,"Four years on, India must realise: On Russia-Ukraine war, a hands-off strategy is not ideal The ongoing war has exceeded the duration of Russia’s involvement in the Great Patriotic War (World War II), which lasted 1,417 days"
Unknown,General Event,0.4,EXC: No10 Political Team Internally Oppose ‘Boys Club’ Chagos Deal and Ask Starmer for U-Turn as Powell Exits A rogue briefing from National Security Adviser Jonathan Powell to his friends at The Guardian went wrong on many levels yesterday – not least the suggestion that the doyenne of centrist geopolitics will soon be returning to his “consultancy“. The organisatio…
Unknown,General Event,0.4,"SurvivalBlog Readers’ & Editors’ Snippets Our weekly Snippets column is a collection of short items: responses to posted articles, practical self-sufficiency items, how-tos, lessons learned, tips and tricks, and news items — both from readers and from SurvivalBlog’s editors. Note that we may select s…"
Iran,General Event,0.4,"Putin Sends Condolences to Iran Over Khamenei Killing — Kremlin Russian President Vladimir Putin expressed deep condolences to Iranian President Masoud Pezeshkian over the killing of Iranian Supreme Leader Ali Khamenei and members of his family, Kremlin Spokesman Dmtry Peskov said."
Singapore,General Event,0.4,"Analysis: Singapore's neutrality lures Chinese tech fleeing Western crackdowns As global geopolitics continue to shift, Singapore is emerging from its image as a garden city to become a safe harbor for Chinese companies expanding overseas. With competition between the US and China intensifying, Singapore's neutral standing is no longer …"
Tehran,General Event,0.4,"Iran rejects any shift in geopolitics of region, defense minister says Iran's Minister of Defense, Brigadier General Aziz Nasirzadeh, reiterated Tehran's firm opposition to foreign intervention and its unwavering commitment to safeguarding national sovereignty during a high-level meeting with Armenia's Minister of Defense, Suren…"
Unknown,General Event,0.4,"NDP leadership candidates face off in final debate When the five NDP leadership candidates take the debate stage on Thursday, they will face two challenges — convincing Canadians the party is still relevant, and then rebuilding it."
Unknown,General Event,0.4,"Occupy Mars? Or the Moon? Get a Reality Check on Elon Musk's Plans SpaceX founder Elon Musk now says he wants to build a city on the moon before building a city on Mars. Is either scenario realistic? 

In the latest episode of the Fiction Science podcast, biologist Scott Solomon, the author of a new book titled ""Becoming Mar…"
Malaysia,General Event,0.4,"Malaysia can maintain subsidised RM1.99 per litre Budi95 petrol price for up to two months – PM Anwar Malaysia will be able to maintain the current RM1.99 per litre price of subsidised RON 95 petrol under the Budi Madani RON 95 scheme (Budi95), prime minister Datuk Seri Anwar Ibrahim has said, reported The […]
The post Malaysia can maintain subsidised RM1.99 …"
U.S.,General Event,0.4,"Bitcoin nears $68,000, gold jumps as US-Iran tensions return Geopolitical tensions and a cautious tone in U.S. stocks are keeping risk appetite in check, and some strategists warn of a potential retest of 2024 lows before a more sustained recovery."
Lebanon,General Event,0.4,"How the U.S. and Israel's war with Iran is realigning the politics of the Middle East Kim Ghattas, author Black Wave: Saudi Arabia, Iran, and the Forty-Year Rivalry That Unraveled Culture, Religion, and Collective Memory in the Middle East,"" talks about the impact of the widening war with Iran on life in Lebanon, and the impact on the geopolit…"
AI,General Event,0.4,"AI Will Run in Space, Because the Future Will Demand It AI's next frontier isn't just bigger data centers; it's space. Overcoming Earth's limits in power, cooling, and geopolitics, space offers the ultimate scaling path for AI."
the Gaza Strip,General Event,0.4,"A New Order In The Levant? As will be shown below, the term “order” is ill-suited for depicting and analyzing the geopolitics of the Levant - the area comprising the states of Syria, Jordan, Lebanon, and Israel, the Palestinian Authority and the Gaza Strip."
US,General Event,0.4,"As US tech giants become cable giants, it’s time we pay attention to our seabeds American cable owners are in the business of business — not geopolitics. But if Trump told them to block the continent from their undersea cables, would they really defy him?"
India,General Event,0.4,"Energy Edits Newsletter for February 26, 2026 Explore the latest Energy Edits newsletter, featuring insights on geopolitics, solar duties, and India's energy independence efforts."
AI,General Event,0.4,"New Delhi’s AI Impact Summit should get more ambitious: Aim for substance beyond the spectacle The international AI huddle in New Delhi offers India an opportunity to forge global partnerships in the Global South's favour and push an inclusive agenda. But as geopolitics and business interests loom over the AI race, can this summit make a substantive di…"
AI,General Event,0.4,"Preparing for AI-Enabled Bioweapons The prospect of bioweapons developed by non-state actors has lent new urgency to multilateral pandemic preparation and response efforts. Yet at a time when AI has made such threats exponentially greater, the funding model that sustains critical health-securit…"
India,General Event,0.4,"India’s Path From Energy Dependence Now that geopolitical wrangling increasingly shapes international trade dynamics, India must reduce its dependence on imported energy to maximize its strategic autonomy. While it could invest more in hydrocarbons, the far better option is to become a renewabl…"
Unknown,Military Activity,0.9,"Development Is Hard Power In today's world, defense spending matters, and increased military investment is a legitimate policy response to security threats. But without parallel investment in development, it is only half a security strategy."
AI,General Event,0.4,"The New Age of Resource Competition Needs Transparency As countries scramble to secure the minerals needed for clean energy, digital technologies, AI, and defense industries, the new era of resource competition implies both great promise and grave peril. Transparency is essential to ensure that producer countries…"
Unknown,General Event,0.4,"Gaslighting Peter Navarro Dishes BS: 'It's What We Call A Goldilocks Economy' Trump senior economic counselor Peter Navarro continues his gaslighting on the state of our economy. Navarro made an appearance on this weekend's Sunday Morning Futures with Maria Bartiromo, and once again tried to put a happy face on the damage Trump's tarif…"
AI,General Event,0.4,"The Geopolitics of AGI How might advanced AI, including the potential emergence of artificial general intelligence (AGI), reshape global politics and security? Jim Mitre and Joel Predd discuss RAND's Geopolitics of AGI initiative and explore what policymakers need to know."
Field,General Event,0.4,"What if the Apple ][ had run on Field-Sequential? One thing I remain fascinated by is the field-sequential color system. Essentially, unlike composite video, which sacrifices color depth in space, field sequ..."
Unknown,General Event,0.4,What does BNP’s landslide mean for Bangladesh’s post-uprising order? The victorious BNP was sceptical of constitutional reforms outlined in July Charter - now it must implement them.
Unknown,General Event,0.4,"Berlin Film Festival Issues Lengthy Statement Defending Jury & In Response To “Media Storm”: “Artists Should Not Be Expected To Speak On Every Political Issue Raised To Them” The Berlin Film Festival has issued a lengthy statement “in defense of our filmmakers, and especially our jury and jury President”, following what it describes as a “media storm that has swept over the Berlinale” in its first two days. The communiqué comes in…"
Iran,General Event,0.4,Traders mint money on betting platforms on US-Israel strike on Iran Anonymous bets hours before attacks on Iran that killed Supreme Leader Khamenei have raised concerns of insider trading.
U.S.,General Event,0.4,"Trump assures Infantino Iran will be able to play in the United States  Gianni Infantino, president of FIFA, has emerged from his office with news that is pure geopolitics: Donald Trump guarantees that the Iranian national team will be welcomed on U.S. soil for the 2026 W..."
